Solicitação	Tipo Solicitação	Problema	Número OS BB	Bem	Item	Situação Equip.	Ag. SAG	Nome Local	LAT	Descrição Item	Número de Série	Cliente	Conta	Status	Data Abertura	Data Fechamento	Criticidade	SEMAT	Contrato	Data Resolução	Grupo	UF	
9478527	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20232437000021	7419141893524	EQPT-069962	Contratado	2437.91	SAA-PESQUEIRA	TR-ARCOVERDE	T-10 TAA TAAMT SAQUE DEPOSITO TRASEIRO PERTO TMF2100V13 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	13/02/2023 18:22:51		14		00119/2021	13/02/2023 18:22:51	REC	PE	
9478476	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20232678000014	7417163281860	EQPT-079049	Contratado	2678.91	SAA-SENTO SE	TR-PETROLINA	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 18:14:56		15		00119/2021	13/02/2023 18:14:56	REC	BA	
9478382	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20234923000067	7419141892150	EQPT-069962	Contratado	4923.01	SOP-PAULISTA	CAT-RECIFE	T-10 TAA TAAMT SAQUE DEPOSITO TRASEIRO PERTO TMF2100V13 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 18:09:17		13		00119/2021	13/02/2023 18:09:17	REC	PE	
9478325	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20234844000453	7417163282352	EQPT-079049	Contratado	4844.64	SOP TAMARINEIRA PE	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	13/02/2023 18:01:02		13		00119/2021	13/02/2023 18:01:02	REC	PE	
9478324	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20234637000008	7417163284105	EQPT-079049	Contratado	4637.91	SAA-TORITAMA	TR-CARUARU	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 18:01:01		14		00119/2021	13/02/2023 18:01:01	REC	PE	
9478256	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20234844000452	7417183020637	EQPT-083401	Contratado	4844.64	SOP TAMARINEIRA PE	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	13/02/2023 17:58:16		13		00119/2021	13/02/2023 17:58:16	REC	PE	
9478195	Manutenção Preventiva	ORDEM DE SERVICO PREVENTIVAN	20234844000451	7417163282362	EQPT-079049	Contratado	4844.17	SOP PRAZERES	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 17:48:14		13		00119/2021	13/02/2023 17:48:14	REC	PE	
9478110	Manutenção Gerencial	ORDEM DE SERVI¸O GERENCIAL - PARA VERIFICA¸AO DESTE TAA E SUA INFN	20231059000017	7419141894708	EQPT-069962	Contratado	1059.91	SAA-EXU	TR-SALGUEIRO	T-10 TAA TAAMT SAQUE DEPOSITO TRASEIRO PERTO TMF2100V13 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 17:41:01		14		00119/2021	14/02/2023 17:54:36	REC	PE	
9478042	Manutenção Gerencial	ORDEM DE SERVI¸O GERENCIAL - PARA VERIFICA¸AO DESTE TAA E SUA INFN	20231052000013	7417163285093	EQPT-079049	Contratado	1052.91	SAA-CUPIRA	TR-CARUARU	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 17:30:12		14		00119/2021	14/02/2023 17:54:25	REC	PE	
9477977	Manutenção Gerencial	ORDEM DE SERVI¸O GERENCIAL - PARA VERIFICA¸AO DESTE TAA E SUA INFN	20230870000025	7417163283610	EQPT-079049	Contratado	0870.91	SAA-SALGUEIRO	TR-SALGUEIRO	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	13/02/2023 17:27:37		14		00119/2021	14/02/2023 17:38:47	REC	PE	
9477885	Manutenção Gerencial	ORDEM DE SERVI¸O GERENCIAL - PARA VERIFICA¸AO DESTE TAA E SUA INFN	20231059000016	7417161482599	EQPT-078245	Contratado	1059.91	SAA-EXU	TR-SALGUEIRO	T-10 TAA TAAST SAQUE TRASEIRO DIEBOLD CD-4500-235/237 2015 V15		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 17:14:08		14		00119/2021	14/02/2023 17:33:52	REC	PE	
9477533	Instalação	Chamado de Instalação para baixa de matriz		7417183022889	EQPT-083401	Contratado	1363.91	SAA-VICENCIA	TR-GOIANA	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	13/02/2023 16:26:56		14		00119/2021	17/02/2023 23:59:00	REC	PE	
9477367	Manutenção Corretiva	DODR - SUBSTITUIÇÃO DA BATERIA		0246000206021	GRPE-000029	Contratado	0246.00	SERRA TALHADA	TR-SERRA TALHADA	T-99 SISTEMA DE GERADOR DE NEBLINA - ALARMETEK		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 15:53:36		S1		00206/2019	09/03/2023 15:35:00	REC	PE	
9476939	Manutenção Corretiva	CÂMERAS NÃO LIGAM. CONECTOR DA FONTE E CABO DA CÂMERA COM DEFEITO. TÉCNICO FERNANDO ESTÁ COM A PEÇA.	230028336	1128001400020	GRPE-000001	Contratado	1128.00	STA.MARIA BOA VISTA	TR-PETROLINA	EQUIPAMENTOS CFTV		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 14:23:00		4		00037/2018	06/03/2023 12:30:00	REC	PE	
9476515	Manutenção Corretiva	-SKIMMING DETECTADON	20231421000011	7417202021230	EQPT-086206	Contratado	1421.91	SAA-ALTINHO	TR-CARUARU	T-10 TERMINAL RECICLADOR TAART DIEBOLD V19		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 12:33:29		14		00119/2021	13/02/2023 12:33:29	REC	PE	
9476194	Manutenção Corretiva	PROBLEMA MECANISMO DE PAGAMENTON	20231739000003	7417210950311	EQPT-086206	Contratado	1739.91	SAA-CAPOEIRAS	TR-GARANHUNS	T-10 TERMINAL RECICLADOR TAART DIEBOLD V19		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 11:34:35		14		00119/2021	13/02/2023 11:34:35	REC	PE	
9475757	Manutenção Corretiva	PGDM não está travando, mesmo com sinalização de travamento, não há travamento.	230028057	2437001400010	GRPE-000002	Contratado	2437.00	PESQUEIRA	TR-ARCOVERDE	EQUIPAMENTOS PGDM/PEDM		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 10:41:42		3		00037/2018	07/03/2023 14:05:00	REC	PE	
9475024	Manutenção Corretiva	NÃO ESTÁ SEGURANDO OS EQUIPAMENTOS EM QUEDA DE ENERGIA E APITANDO	230027889	1108001400030	GRPE-000003	Contratado	1108.00	PARNAMIRIM	TR-SALGUEIRO	EQUIPAMENTOS NO-BREAK		BANCO DO BRASIL S.A	00000000	Suspenso	13/02/2023 09:14:21		4		00037/2018	22/02/2023 18:00:00	REC	PE	
9471628	Manutenção Corretiva	Defeito: Disparos indevido na part.02 zona  5 sala online.		5742000206001	GRPE-900022	Contratado	5742.00	SHOPPING DIFUSORA	TR-CARUARU	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	12/02/2023 11:16:15		S1		00206/2019	03/03/2311 17:00:00	REC	PE	
9471368	Manutenção Corretiva	Câmera da tesouraria fora do enquadramento dificultando o monitoramento efetivo, no caso a câmera precisa ser reposicionada ou acrescentar outra no ambiente.		1011000203000	GRPE-000038	Contratado	1011.00	AFRANIO	TR-PETROLINA	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Suspenso	12/02/2023 10:00:48		1		00203/2020	13/02/2023 10:00:48	REC	PE	
9465880	Manutenção Corretiva	QUEIMADO.	230027811	0068001400030	GRPE-000003	Contratado	0068.00	ARCOVERDE	TR-ARCOVERDE	EQUIPAMENTOS NO-BREAK		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 19:14:00		4		00037/2018	24/02/2023 17:00:00	REC	PE	
9465855	Manutenção Corretiva	QUEIMADO.	230027810	0068001400030	GRPE-000003	Contratado	0068.00	ARCOVERDE	TR-ARCOVERDE	EQUIPAMENTOS NO-BREAK		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 19:05:00		4		00037/2018	24/02/2023 17:00:00	REC	PE	
9465602	Manutenção Corretiva	NObreak bem final 0006 está aparentemente inoperante e fazendo um barulho alto Pedimos reparo	230027784	2335001400030	GRPE-000003	Contratado	2335.00	NAZARE DA MATA	TR-GRAVATA	EQUIPAMENTOS NO-BREAK		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 17:32:00		4		00037/2018	16/02/2023 17:30:00	REC	PE	
9465182	Manutenção Corretiva	PGDM inoperante, risco de segurança da agência	230027724	1049001400010	GRPE-000002	Contratado	1049.00	CORRENTES	TR-GARANHUNS	EQUIPAMENTOS PGDM/PEDM		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 16:14:00		3		00037/2018	02/03/2023 14:30:00	REC	PE	
9464595	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		2564000206001	GRPE-900022	Contratado	2564.00	SALOA	TR-GARANHUNS	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Aberto	10/02/2023 14:09:51		S1		00206/2019	11/02/2023 14:09:51	REC	PE	
9464591	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		2257000206001	GRPE-900022	Contratado	2257.00	MACAPARANA	TR-GOIANA	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Aberto	10/02/2023 14:09:50		S1		00206/2019	11/02/2023 14:09:50	REC	PE	
9464589	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		2156000206001	GRPE-900022	Contratado	2156.00	ITAIBA	TR-ARCOVERDE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	10/02/2023 14:09:50		S1		00206/2019	11/02/2023 14:09:50	REC	PE	
9464504	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		2802000206001	GRPE-900022	Contratado	2802.00	CASA AMARELA	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	10/02/2023 14:09:37		S1		00206/2019	11/02/2023 14:09:38	REC	PE	
9464461	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		1245000206001	GRPE-900022	Contratado	1245.00	BARAO DE SOUZA LEAO	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	10/02/2023 14:09:30		S1		00206/2019	11/02/2023 14:09:30	REC	PE	
9464457	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		1128000206001	GRPE-900022	Contratado	1128.00	STA.MARIA BOA VISTA	TR-PETROLINA	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Aberto	10/02/2023 14:09:29		S1		00206/2019	11/02/2023 14:09:30	REC	PE	
9464451	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		0963000206001	GRPE-900022	Contratado	0963.00	PETROLINA	TR-PETROLINA	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Aberto	10/02/2023 14:09:29		S1		00206/2019	11/02/2023 14:09:29	REC	PE	
9464394	Vistoria	DODR - VISTORIA DE INFRAESTRUTURA PARA A INSTALAÇÃO DO GERADOR DE NEBLINA #vistoriaGN2023		0067000206001	GRPE-900022	Contratado	0067.00	GARANHUNS	TR-GARANHUNS	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Aberto	10/02/2023 14:09:20		S1		00206/2019	11/02/2023 14:09:20	REC	PE	
9463997	Manutenção Corretiva	SCANNER DIGITALIZA C MANCHA NA FRENTE E CORTA A IMAGEM DE VERSON	20234844000431	7417193390971	EQPT-085600	Contratado	5740.00	ENCRUZILHADA	CAT-RECIFE	T-10 SCANNER KODAK I 1190 COM MESA DIGITALIZADORA TAMANHO OFICIO		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 12:14:13		22		00118/2021	14/02/2023 17:14:13	REC	PE	
9463988	Manutenção Corretiva	TERMINAL NAO LIGA.N	20234119000009	7419152172053	EQPT-075318	Contratado	4119.00	BUIQUE	TR-ARCOVERDE	T-10 TERMINAL DO OPERADOR - TOP DARUMA TOPDRM01 (AT7300/03 TOP100) 2015 PE204/07603		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 12:14:25		8		00119/2021	11/02/2023 12:26:37	REC	PE	
9463914	Manutenção Corretiva	480, 778, 783, 794, 838, 841, TERMINAL INDISPONIVEL PARA SAQUE E DEPØSITO, ENROSCANDO C©DULAS. / 87981829373	20232107000001	7417183023328	EQPT-083401	Contratado	2107.91	SAA-IATI	TR-GARANHUNS	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 11:59:05		14		00119/2021	10/02/2023 11:59:05	REC	PE	
9463157	Manutenção Corretiva	Prezados(as),               Informamos que a PGDM, voltou a dar problemas de detecção, pedimos retorno de técnico.	230027366	4637001400010	GRPE-000002	Contratado	4637.00	TORITAMA	TR-CARUARU	EQUIPAMENTOS PGDM/PEDM		BANCO DO BRASIL S.A	00000000	Suspenso	10/02/2023 09:41:00		3		00037/2018	06/03/2023 10:30:00	REC	PE	
9460685	Manutenção Corretiva	BIOMETRIA COM VERSAO DE FIRMWARE INCORRETAN	20234844000424	7417163285131	EQPT-079049	Contratado	4844.20	SOP.CID.UNIVERS	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	09/02/2023 17:16:41		13		00119/2021	10/02/2023 09:30:00	REC	PE	
9460151	Manutenção Corretiva	C©DULAS PRESAS NO TRANSPORTADOR, TERMINAL INDISPONIVEL PARA      SAQUEN	20234844000423	7417163284187	EQPT-079049	Contratado	4844.01	SOP-AG.RECIFE	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	09/02/2023 15:32:31		13		00119/2021	09/02/2023 15:32:31	REC	PE	
9460038	Instalação	 Ponto sem câmera. Cliente solicita uma.   		5749000203000	GRPE-000038	Contratado	5749.00	RIO SAO FRANCISCO	TR-PETROLINA	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Suspenso	09/02/2023 15:28:36		1		00203/2020	17/03/2023 18:00:00	REC	BA	
9459066	Manutenção Corretiva	Partição 5 zona 3 com disparos indevidos.		2437000206001	GRPE-900022	Contratado	2437.00	PESQUEIRA	TR-ARCOVERDE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	09/02/2023 11:46:07		S1		00206/2019	03/03/2023 14:35:00	REC	PE	
9458689	Manutenção Corretiva	TECLADO DO COFRE APRESENTANDO A MENSAGEM "TECLADO VIOLADO" NAO   CONSEGUIMOS ABRIR O COFRE DO EQUIPAMENTO. O TECLADO DO EQUIPA-MENTO FOI TROCADO PELO MESMO DEFEITO A CERCA DE APENAS 15        DIAS                              N	20234923000059	7417183022494	EQPT-083401	Contratado	4923.03	SOP-OLINDA	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Suspenso	09/02/2023 10:22:37		14		00119/2021	09/02/2023 10:22:37	REC	PE	
9458173	Manutenção Corretiva	595, 608, 610, 611, 612, 613, 774, TAA INDISP P/SAQUE/CASSETES A,B,C,D,INDISP/DESV 2 FORA DE POSIC/71170/13/PRT/B / 41 996852011	20234804001469	7417193471170	EQPT-085660	Contratado	4357.03	CHESF-ED.SEDE	CAT-RECIFE	T-10 TAA SAQUE FRONTAL PERTO COM ENTINTAMENTO TSF 2100 V 19		BANCO DO BRASIL S.A	00000000	Suspenso	09/02/2023 08:45:51		13	4804	00119/2021	09/02/2023 09:30:00	REC	PE	
9455659	Instalação	 Instalar receptor e acionadores móveis V2		3258000206001	GRPE-900022	Contratado	3258.00	PRAIA DE BOA VIAGEM	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	08/02/2023 16:57:25		S1		00206/2019	23/03/2023 18:00:00	REC	PE	
9454830	Manutenção Corretiva	TERMINAL INSIPON­VEL PARA SAQUES E DEPOSITOS                     CASSETE D COM PROBLEMASN	20230582000008	7417183023985	EQPT-083401	Contratado	0582.91	SAA-SURUBIM	TR-LIMOEIRO	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Suspenso	08/02/2023 13:47:03		14		00119/2021	08/02/2023 13:47:03	REC	PE	
9453394	Manutenção Corretiva	1 - AGÊNCIA   11 - WC MASC.  Disparo de alarme sem causa aparente. Reaberta ordem de serviço, pois manutenção não solucionou problema. Solicito troca do sensor.		2125000206001	GRPE-900022	Contratado	2125.00	VENTUROSA	TR-ARCOVERDE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	08/02/2023 09:30:44		S1		00206/2019	07/03/2023 14:35:00	REC	PE	
9450561	Manutenção Corretiva	SISTEMA DE ENTINTAMENTO DO CASSETE C INDISPONIVEL - BDU INOPERANTE (SENSORES EXTERNOS).N	20234844000396	7419141893520	EQPT-069962	Contratado	4844.10	SOP-ESPINHEIRO	CAT-RECIFE	T-10 TAA TAAMT SAQUE DEPOSITO TRASEIRO PERTO TMF2100V13 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	07/02/2023 16:05:28		13		00119/2021	07/02/2023 16:05:28	REC	PE	
9450304	Desinstalação	Desinstalação do alarme para início das obras.  Desinstalação : 10/02/2023 a partir das 14 hs.   Instalação  : 03/03/2023 a partir das 16 hs.  Nome : Denise Tavares    Matrícula : f2384256  Telefone : 41 9 88914729   		9406000206021	GRPE-000029	Contratado	9406.00	VALORES RECIFE	CAT-RECIFE	T-99 SISTEMA DE GERADOR DE NEBLINA - ALARMETEK		COBRA TECNOLOGIA SA	42318949	Aberto	07/02/2023 15:51:29		S1		00206/2019	22/03/2023 18:00:00	REC	PE	
9449888	Manutenção Corretiva	TERMINAL COM ENROSCOS FREQUENTESN	20230582000007	7417183023862	EQPT-083401	Contratado	0582.91	SAA-SURUBIM	TR-LIMOEIRO	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Suspenso	07/02/2023 13:41:31		14		00119/2021	07/02/2023 13:41:31	REC	PE	
9449450	Manutenção Corretiva	COMPUTADOR NAO LIGA. SINAL SONORO QUANDO TENTA LIGAR.S	20233433000006	7417191614659	EQPT-083730	Contratado	3433.00	CORP BANK PERNAMBUCO	CAT-RECIFE	T-10 NOTEBOOK POSITIVO MASTER N6240 BLACKSTONE 14POL FULL HD INTEL CORE I5-8250U 8GB 2.400MHZ 128GB SSD 16GB INTEL OPTANE WINDOWS 10 PRO PORTUGUES BRASIL		BANCO DO BRASIL S.A	00000000	Suspenso	07/02/2023 12:22:52		22		00118/2021	09/02/2023 17:22:52	REC	PE	
9449008	Manutenção Corretiva	COMPUTADOR NAO LIGAN	20234981000001	7419152405218	EQPT-074290	Contratado	4981.00	GECOR ING RECIFE	CAT-RECIFE	T-10 TMF DG POSITIVO MASTER D380 ANO 2015		BANCO DO BRASIL S.A	00000000	Suspenso	07/02/2023 10:50:15		22		00118/2021	09/02/2023 15:50:15	REC	PE	
9448626	Manutenção Corretiva	MECANISMO DISPENSADOR DE C©DULAS DO CASSETE B, INOPERANTE. CASSETE B DANIFICADO.N	20230710000007	7419141894913	EQPT-069962	Contratado	0710.91	SAA-BARREIROS	TR-RIBEIRAO	T-10 TAA TAAMT SAQUE DEPOSITO TRASEIRO PERTO TMF2100V13 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	07/02/2023 09:52:13		14		00119/2021	07/02/2023 09:52:13	REC	PE	
9445712	Manutenção Corretiva	NO BREAK parou de funcionar devido faltas/quedas de energia na cidade, foram desligados dos equipamentos. Os terminais de autoatendimento estão ligados direto na tomada. Ou seja, sem nenhuma proteção	230024766	3924001400030	GRPE-000003	Contratado	3924.00	TAMANDARE	TR-RIBEIRAO	EQUIPAMENTOS NO-BREAK		BANCO DO BRASIL S.A	00000000	Suspenso	06/02/2023 17:05:27		4		00037/2018	13/02/2023 17:30:00	REC	PE	
9445662	Manutenção Corretiva	TERMINAL INDISPONIVEL PARA SAQUE.                                ATENDIMENTO AO TECNICO DAS 08:00 AS 14HN	20231153000011	7417163284286	EQPT-079049	Contratado	1153.91	SAA-TAQUARITINGA NOR	TR-CARUARU	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	06/02/2023 16:46:25		14		00119/2021	06/02/2023 16:46:25	REC	PE	
9444909	Instalação	: #INFRA: Recuperação de dependência sinistrada (Inundação)  Prefixo 2156 - Itaiba/PE. Fluxo de Trabalho: 2022/259148.  Solicitação de suprimentos para recomposição dos itens danificados no  Sinistro.		2156000203000	GRPE-000038	Contratado	2156.00	ITAIBA	TR-ARCOVERDE	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Aberto	06/02/2023 14:28:12		1		00203/2020	14/03/2023 18:00:00	REC	PE	
9444862	Manutenção Corretiva	TECLADO CRIPTOGRAFICO INOPERANTE                                 'N	20232437000020	7419141893534	EQPT-069962	Contratado	2437.91	SAA-PESQUEIRA	TR-ARCOVERDE	T-10 TAA TAAMT SAQUE DEPOSITO TRASEIRO PERTO TMF2100V13 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	06/02/2023 14:06:28		14		00119/2021	06/02/2023 14:06:28	REC	PE	
9443716	Manutenção Corretiva	PROBEMA COM A LEITORA DE CARTAON	20234844000359	7417163283005	EQPT-079049	Contratado	4844.80	SOP-CAMARAGIBE PE	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	06/02/2023 10:41:31		13		00119/2021	06/02/2023 10:41:31	REC	PE	
9443139	Ativação	DODR - ASSUNÇÃO DO GERADOR DE NEBLINA		0594000206001	GRPE-900022	Contratado	0594.00	REMANSO	TR-PETROLINA	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	06/02/2023 09:29:32		S1		00206/2019	06/02/2023 18:00:00	REC	BA	
9439699	Manutenção Corretiva	MASCARAMENTO SENSOR   04/02/2023 15:34:00   1 - AGÊNCIA   		1792000206001	GRPE-900022	Contratado	1792.00	CONDADO	TR-GOIANA	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	05/02/2023 11:31:38		S1		00206/2019	10/03/2023 17:00:00	REC	PE	
9439691	Manutenção Corretiva	MASCARAMENTO SENSOR   04/02/2023 13:33:00   4 - SAA.   5 - SAA ENTRADA, solicito visita técnica		5898000206001	GRPE-900022	Contratado	5898.00	HELIOPOLIS	TR-GARANHUNS	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	05/02/2023 11:30:50		S1		00206/2019	06/03/2023 11:00:00	REC	PE	
9439434	Manutenção Corretiva	DVRs sem conexão por favor verificar.		2564000203000	GRPE-000038	Contratado	2564.00	SALOA	TR-GARANHUNS	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Suspenso	05/02/2023 10:15:51		1		00203/2020	06/02/2023 10:15:52	REC	PE	
9432437	Instalação	 Cabeamento rompido - aguardando tratamento - infra BB - referente ao chamado de manutenção corretiva 9396669   		1833000206001	GRPE-900022	Contratado	1833.00	BENFICA-PE	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	03/02/2023 13:05:00		S1		00206/2019	20/03/2023 18:00:00	REC	PE	
9432115	Manutenção Corretiva	TERMINAL COM PROBLEMAS DE ACIONAMENTO DA FECHADURAN	20232257000015	7417183022203	EQPT-083401	Contratado	2257.91	SAA-MACAPARANA	TR-GOIANA	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Suspenso	03/02/2023 11:41:55		14		00119/2021	03/02/2023 11:41:55	REC	PE	
9431494	Manutenção Corretiva	NOTEBOOK NAO ESTA LIGANDO- APRESENTA SOM (BIP'S) NAO LIGA        LED BATERIA CONSTANTEMENTE ACESOTESTAMOS DEIXAR ELE CARREGANDO, POR©M NAO RESOLVE.                                                 S	20237712000002	7417193051914	EQPT-083730	Contratado	7712.00	ESCR.EST.CAPIBARIBE	CAT-RECIFE	T-10 NOTEBOOK POSITIVO MASTER N6240 BLACKSTONE 14POL FULL HD INTEL CORE I5-8250U 8GB 2.400MHZ 128GB SSD 16GB INTEL OPTANE WINDOWS 10 PRO PORTUGUES BRASIL		BANCO DO BRASIL S.A	00000000	Suspenso	03/02/2023 09:55:22		22		00118/2021	07/02/2023 14:55:22	REC	PE	
